base_score,[481.90508501]
age,Score
"(-inf, 54.0]",-3.2780717806579127
"(54.0, 61.0]",2.290039726256963
"(61.0, 64.0]",7.228369731253498
"(64.0, 74.0]",10.722083803524276
"(74.0, inf]",16.02982214838272
RevolvingUtilizationOfUnsecuredLines,Score
"(-inf, 0.0605]",53.498614305331266
"(0.0605, 0.154]",28.735866962831683
"(0.154, 0.935]",-11.023423139727347
"(0.935, 0.983]",-33.2122864632392
"(0.983, 1.0]",-10.377767291899664
"(1.0, inf]",-45.04368730921554
DebtRatio,Score
"(-inf, 0.0175]",37.618117570766486
"(0.0175, 0.169]",2.771276694560825
"(0.169, 136.765]",-3.932699865782792
"(136.765, inf]",3.673048249443656
MonthlyIncome,Score
"(-inf, 5597.679]",-2.049058951650094
"(5597.679, 10244.045]",2.532105971825434
"(10244.045, inf]",7.097380919626983
NumberOfOpenCreditLinesAndLoans,Score
"(-inf, 1.0]",-6.528021916334104
"(1.0, 3.0]",-2.568806397736549
"(3.0, 5.0]",-0.40444863377429163
"(5.0, 11.0]",0.9269399976920374
"(11.0, inf]",1.573091382740218
NumberOfTime30-59DaysPastDueNotWorse,Score
"(-inf, 0.0]",5.990731309905899
"(0.0, 1.0]",-14.863381122422231
"(1.0, 2.0]",-23.409325256462594
"(2.0, inf]",-26.16503144521957
NumberOfTimes90DaysLate,Score
"(-inf, 0.0]",3.9982043060029144
"(0.0, 1.0]",-29.812384193628287
"(1.0, 2.0]",-38.50474353835281
"(2.0, inf]",-40.89710727168289
NumberRealEstateLoansOrLines,Score
"(-inf, 0.0]",-10.960816791972624
"(0.0, 1.0]",5.419426664333813
"(1.0, 2.0]",17.210347053829235
"(2.0, 4.0]",10.71454364881086
"(4.0, inf]",-8.08241013499511
NumberOfTime60-89DaysPastDueNotWorse,Score
"(-inf, 0.0]",1.1277131542896695
"(0.0, 1.0]",-12.539064496346883
"(1.0, 2.0]",-16.04345520544872
"(2.0, inf]",-16.514452162278264
NumberOfDependents,Score
"(-inf, 0.0]",16.086931312970986
"(0.0, 1.0]",-12.512172865137694
"(1.0, 2.0]",-13.039704396525742
"(2.0, inf]",-11.733972006756746
